codigo_sii,actividad_sii,mcc,categoria
11103,CULTIVO DE AVENA,763,COOPERATIVAS AGRÍCOLAS
11104,CULTIVO DE CEBADA,763,COOPERATIVAS AGRÍCOLAS
11105,"CULTIVO DE OTROS CEREALES (EXCEPTO TRIGO, MAÍZ, AVENA Y CEBADA)",763,COOPERATIVAS AGRÍCOLAS
11106,CULTIVO DE POROTOS,763,COOPERATIVAS AGRÍCOLAS
11107,CULTIVO DE LUPINO,763,COOPERATIVAS AGRÍCOLAS
11108,CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO),763,COOPERATIVAS AGRÍCOLAS
11109,CULTIVO DE SEMILLAS DE RAPS,763,COOPERATIVAS AGRÍCOLAS
11110,CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL),763,COOPERATIVAS AGRÍCOLAS
11111,"CULTIVO DE SEMILLAS DE CEREALES, LEGUMBRES Y OLEAGINOSAS (EXCEPTO SEMILLAS DE RAPS Y MARAVILLA)",763,COOPERATIVAS AGRÍCOLAS
11200,CULTIVO DE ARROZ,763,COOPERATIVAS AGRÍCOLAS
11301,CULTIVO DE PAPAS,763,COOPERATIVAS AGRÍCOLAS
11302,CULTIVO DE CAMOTES,763,COOPERATIVAS AGRÍCOLAS
11303,CULTIVO DE OTROS TUBÉRCULOS (EXCEPTO PAPAS Y CAMOTES),763,COOPERATIVAS AGRÍCOLAS
11304,CULTIVO DE REMOLACHA AZUCARERA,763,COOPERATIVAS AGRÍCOLAS
11305,CULTIVO DE SEMILLAS DE HORTALIZAS,763,COOPERATIVAS AGRÍCOLAS
11306,CULTIVO DE HORTALIZAS Y MELONES ,763,COOPERATIVAS AGRÍCOLAS
11400,CULTIVO DE CAÑA DE AZÚCAR,763,COOPERATIVAS AGRÍCOLAS
11500,CULTIVO DE TABACO,763,COOPERATIVAS AGRÍCOLAS
11600,CULTIVO DE PLANTAS DE FIBRA,763,COOPERATIVAS AGRÍCOLAS
11901,CULTIVO DE FLORES,763,COOPERATIVAS AGRÍCOLAS
11902,CULTIVOS FORRAJEROS EN PRADERAS MEJORADAS O SEMBRADAS; CULTIVOS SUPLEMENTARIOS FORRAJEROS,763,COOPERATIVAS AGRÍCOLAS
11903,CULTIVOS DE SEMILLAS DE FLORES; CULTIVO DE SEMILLAS DE PLANTAS FORRAJERAS,763,COOPERATIVAS AGRÍCOLAS
12111,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE PISCO Y AGUARDIENTE,763,COOPERATIVAS AGRÍCOLAS
12112,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE VINO,763,COOPERATIVAS AGRÍCOLAS
